,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__min_samples_split,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
0,0.03603065013885498,0.007302896216492164,0.0,0.0,2,1,50,"{'clf__max_depth': 2, 'clf__min_samples_split': 1, 'clf__n_estimators': 50}",,,,,,,73,,,,,,
1,0.02315288782119751,0.009219183141917005,0.0,0.0,2,1,100,"{'clf__max_depth': 2, 'clf__min_samples_split': 1, 'clf__n_estimators': 100}",,,,,,,73,,,,,,
2,0.01457446813583374,0.004076599791969752,0.0,0.0,2,1,200,"{'clf__max_depth': 2, 'clf__min_samples_split': 1, 'clf__n_estimators': 200}",,,,,,,73,,,,,,
3,0.00936037302017212,0.0007539868236057379,0.0,0.0,2,1,500,"{'clf__max_depth': 2, 'clf__min_samples_split': 1, 'clf__n_estimators': 500}",,,,,,,73,,,,,,
4,0.008927226066589355,0.001145301479675232,0.0,0.0,2,1,700,"{'clf__max_depth': 2, 'clf__min_samples_split': 1, 'clf__n_estimators': 700}",,,,,,,73,,,,,,
5,0.008460700511932373,0.0012382362656212246,0.0,0.0,2,1,1000,"{'clf__max_depth': 2, 'clf__min_samples_split': 1, 'clf__n_estimators': 1000}",,,,,,,73,,,,,,
6,0.2177334427833557,0.02228807479604573,0.009251117706298828,0.0032149921966449463,2,3,50,"{'clf__max_depth': 2, 'clf__min_samples_split': 3, 'clf__n_estimators': 50}",0.6326732673267327,0.3103771814599362,0.700522778192681,0.623344074471894,0.566729325362811,0.15097263245549203,59,0.7741253567276186,0.7004405286343612,0.7482321986515376,0.7847403810235338,0.7518846162592628,0.03253454364504613
7,0.41832059621810913,0.05609640267750354,0.00867319107055664,0.0027583002712079875,2,3,100,"{'clf__max_depth': 2, 'clf__min_samples_split': 3, 'clf__n_estimators': 100}",0.6482673267326733,0.3083130043160068,0.6908140403286034,0.6222699606158253,0.5674160829982772,0.15158111092663185,57,0.773491174294472,0.7069260890846794,0.7516855780299293,0.7857676503548748,0.7544676229409889,0.03003965894241477
8,0.8484722971916199,0.0943001305663429,0.014031469821929932,0.004513089999764027,2,3,200,"{'clf__max_depth': 2, 'clf__min_samples_split': 3, 'clf__n_estimators': 200}",0.6378712871287129,0.3056858697691875,0.684839432412248,0.6143931256713212,0.5606974287453674,0.14939976955473025,71,0.7744424479441919,0.7098629466470876,0.7540700542673903,0.7853940978707509,0.7559423866823551,0.028881118318255676
9,2.0457382202148438,0.2136912143697431,0.034687042236328125,0.015464058978025094,2,3,500,"{'clf__max_depth': 2, 'clf__min_samples_split': 3, 'clf__n_estimators': 500}",0.6388613861386139,0.3051229123662976,0.6885735623599701,0.6118868600071607,0.5611111802180107,0.15033289420297358,69,0.7744424479441919,0.7113313754282917,0.7543167242229897,0.7870750840493089,0.7567914079111956,0.02872890037657168
10,3.018377900123596,0.35353200077941266,0.04667651653289795,0.013574637851021237,2,3,700,"{'clf__max_depth': 2, 'clf__min_samples_split': 3, 'clf__n_estimators': 700}",0.6425742574257426,0.30531056483392754,0.6938013442867812,0.611170784103115,0.5632142376623915,0.1517935604351366,65,0.7740196596554275,0.7115761135584924,0.7546456174971222,0.7853940978707509,0.7564088721454483,0.028121915193223844
11,4.260540544986725,0.4838124080624101,0.06338727474212646,0.018533371275081128,2,3,1000,"{'clf__max_depth': 2, 'clf__min_samples_split': 3, 'clf__n_estimators': 1000}",0.6361386138613861,0.3054982173015575,0.6945481702763256,0.611170784103115,0.5618389463855961,0.1510599039227624,67,0.7749709333051474,0.7102300538423887,0.7525900345337938,0.7860478147179679,0.7559597090998245,0.029022736010404376
12,0.21619760990142822,0.031929630277559774,0.008806347846984863,0.004491688203569717,2,5,50,"{'clf__max_depth': 2, 'clf__min_samples_split': 5, 'clf__n_estimators': 50}",0.6326732673267327,0.3103771814599362,0.700522778192681,0.623344074471894,0.566729325362811,0.15097263245549203,59,0.7741253567276186,0.7004405286343612,0.7482321986515376,0.7847403810235338,0.7518846162592628,0.03253454364504613
13,0.42860525846481323,0.05328537315262093,0.010661721229553223,0.004005979420036468,2,5,100,"{'clf__max_depth': 2, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.6482673267326733,0.3083130043160068,0.6908140403286034,0.6222699606158253,0.5674160829982772,0.15158111092663185,57,0.773491174294472,0.7069260890846794,0.7516855780299293,0.7857676503548748,0.7544676229409889,0.03003965894241477
14,0.8411417603492737,0.1088960209179689,0.018338918685913086,0.009932086466094349,2,5,200,"{'clf__max_depth': 2, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.6378712871287129,0.3056858697691875,0.684839432412248,0.6143931256713212,0.5606974287453674,0.14939976955473025,71,0.7744424479441919,0.7098629466470876,0.7540700542673903,0.7853940978707509,0.7559423866823551,0.028881118318255676
15,2.1825649738311768,0.25303131369672127,0.03727304935455322,0.013903206033814204,2,5,500,"{'clf__max_depth': 2, 'clf__min_samples_split': 5, 'clf__n_estimators': 500}",0.6388613861386139,0.3051229123662976,0.6885735623599701,0.6118868600071607,0.5611111802180107,0.15033289420297358,69,0.7744424479441919,0.7113313754282917,0.7543167242229897,0.7870750840493089,0.7567914079111956,0.02872890037657168
16,3.1229881644248962,0.41000099307324483,0.04846620559692383,0.007445394124141666,2,5,700,"{'clf__max_depth': 2, 'clf__min_samples_split': 5, 'clf__n_estimators': 700}",0.6425742574257426,0.30531056483392754,0.6938013442867812,0.611170784103115,0.5632142376623915,0.1517935604351366,65,0.7740196596554275,0.7115761135584924,0.7546456174971222,0.7853940978707509,0.7564088721454483,0.028121915193223844
17,4.457116007804871,0.5925985417885724,0.06616055965423584,0.02591591048659723,2,5,1000,"{'clf__max_depth': 2, 'clf__min_samples_split': 5, 'clf__n_estimators': 1000}",0.6361386138613861,0.3054982173015575,0.6945481702763256,0.611170784103115,0.5618389463855961,0.1510599039227624,67,0.7749709333051474,0.7102300538423887,0.7525900345337938,0.7860478147179679,0.7559597090998245,0.029022736010404376
18,0.015852272510528564,0.0024397332331541543,0.0,0.0,3,1,50,"{'clf__max_depth': 3, 'clf__min_samples_split': 1, 'clf__n_estimators': 50}",,,,,,,73,,,,,,
19,0.01297307014465332,0.003014469896665694,0.0,0.0,3,1,100,"{'clf__max_depth': 3, 'clf__min_samples_split': 1, 'clf__n_estimators': 100}",,,,,,,73,,,,,,
20,0.010170459747314453,0.002093836383016066,0.0,0.0,3,1,200,"{'clf__max_depth': 3, 'clf__min_samples_split': 1, 'clf__n_estimators': 200}",,,,,,,73,,,,,,
21,0.008233249187469482,0.000500141103903962,0.0,0.0,3,1,500,"{'clf__max_depth': 3, 'clf__min_samples_split': 1, 'clf__n_estimators': 500}",,,,,,,73,,,,,,
22,0.011009275913238525,0.0012957302295560273,0.0,0.0,3,1,700,"{'clf__max_depth': 3, 'clf__min_samples_split': 1, 'clf__n_estimators': 700}",,,,,,,73,,,,,,
23,0.014051258563995361,0.0013668140536601502,0.0,0.0,3,1,1000,"{'clf__max_depth': 3, 'clf__min_samples_split': 1, 'clf__n_estimators': 1000}",,,,,,,73,,,,,,
24,0.31067055463790894,0.03820101216791206,0.00725400447845459,0.0010749607311198851,3,3,50,"{'clf__max_depth': 3, 'clf__min_samples_split': 3, 'clf__n_estimators': 50}",0.6346534653465347,0.3054982173015575,0.6960418222554144,0.6211958467597566,0.5643473379158158,0.15208633153601586,63,0.7790931191206003,0.7287077826725403,0.7661568820917612,0.7897833395592081,0.7659352808610276,0.023064010599938074
25,0.5993958115577698,0.08275855217127354,0.01288515329360962,0.0029130592785822696,3,3,100,"{'clf__max_depth': 3, 'clf__min_samples_split': 3, 'clf__n_estimators': 100}",0.6334158415841584,0.3096265715894164,0.70201643017177,0.619405656999642,0.5661161250862468,0.15134795177635355,61,0.7784589366874538,0.7288301517376408,0.7733925341226772,0.7926783713111692,0.7683399984647352,0.023881506487973617
26,1.1985309720039368,0.1590741893152116,0.020198285579681396,0.009035058922412138,3,3,200,"{'clf__max_depth': 3, 'clf__min_samples_split': 3, 'clf__n_estimators': 200}",0.6438118811881188,0.3124413586038656,0.7012696041822255,0.6183315431435732,0.5689635967794457,0.15111915669481354,55,0.7779304513264983,0.7295643661282428,0.7750370004933399,0.7976279417258125,0.7700399399184734,0.0249329134982216
27,3.1443422436714172,0.4653966436520809,0.046570003032684326,0.011832973497335213,3,3,500,"{'clf__max_depth': 3, 'clf__min_samples_split': 3, 'clf__n_estimators': 500}",0.6485148514851485,0.3118784012009758,0.70201643017177,0.6215538847117794,0.5709908918924185,0.15237581424516058,51,0.777613360109925,0.7284630445423397,0.7758592336786713,0.7979081060889055,0.7699609361049604,0.025477778659423744
