,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__gamma,param_clf__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
0,3.8191956281661987,0.9007552130836153,1.8377953171730042,0.6384147545321583,0.01,0.0001,rbf,"{'clf__C': 0.01, 'clf__gamma': 0.0001, 'clf__kernel': 'rbf'}",0.48217821782178216,0.33664852692812913,0.6982823002240478,0.3233082706766917,0.46010432891266273,0.15097226498774755,44,0.5679103688827819,0.5367107195301027,0.5250781121526065,0.5993649607769892,0.5572660403356201,0.02891454982651998
1,3.835191786289215,0.8778797999371274,1.9087963104248047,0.6189335691610246,0.01,0.0003,rbf,"{'clf__C': 0.01, 'clf__gamma': 0.0003, 'clf__kernel': 'rbf'}",0.48217821782178216,0.33664852692812913,0.6982823002240478,0.3233082706766917,0.46010432891266273,0.15097226498774755,44,0.5679103688827819,0.5367107195301027,0.5250781121526065,0.5993649607769892,0.5572660403356201,0.02891454982651998
2,3.8029537200927734,0.9993647593821424,1.9938702583312988,0.5536696097268691,0.01,0.001,rbf,"{'clf__C': 0.01, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'}",0.48217821782178216,0.33683617939575905,0.34428678117998507,0.3233082706766917,0.37165236226855447,0.06425371109080465,57,0.5679103688827819,0.6125795398923152,0.7058871896069725,0.5993649607769892,0.6214355147897647,0.05138716831469288
3,3.4249019622802734,0.8783110599471871,1.9713613390922546,0.7141515431027893,0.01,0.003,rbf,"{'clf__C': 0.01, 'clf__gamma': 0.003, 'clf__kernel': 'rbf'}",0.6381188118811881,0.3385250516044286,0.6945481702763256,0.45291800930898674,0.5310275107677322,0.14262349373643826,36,0.7615474051368777,0.679637787567303,0.7459299457326097,0.7250653716847217,0.7280451275303781,0.030799427081320413
4,2.884478211402893,0.5397720399109255,1.734155297279358,0.6304122640996909,0.01,0.01,rbf,"{'clf__C': 0.01, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.6413366336633664,0.3471570651154063,0.6796116504854369,0.5964912280701754,0.5661491443335963,0.1298124335914653,34,0.7706373533453124,0.6895496818404308,0.7583456668311133,0.7806313036981696,0.7497910014287565,0.03566473579807769
5,2.9569761753082275,0.6809287079142278,1.6826220154762268,0.627100443327461,0.01,0.03,rbf,"{'clf__C': 0.01, 'clf__gamma': 0.03, 'clf__kernel': 'rbf'}",0.679950495049505,0.6956276975042222,0.6699029126213593,0.5878983172216254,0.658344855599178,0.04169267743885616,18,0.7689462001902547,0.715369554576603,0.7683769116921559,0.7810048561822936,0.7584243806603269,0.025364135526653286
6,3.313698470592499,0.936177307056316,2.0859130024909973,0.7609218915267771,0.01,0.1,rbf,"{'clf__C': 0.01, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.5836633663366336,0.33908800900731845,0.6684092606422704,0.44289294665234513,0.5085133956596418,0.1267134668272321,41,0.7212768206320684,0.6524718551150269,0.7343364578194376,0.7160067239447142,0.7060229643778118,0.031629617448915466
7,3.245638072490692,0.9501242303069903,2.224598467350006,0.6849616246941145,0.01,0.3,rbf,"{'clf__C': 0.01, 'clf__gamma': 0.3, 'clf__kernel': 'rbf'}",0.48217821782178216,0.33664852692812913,0.6982823002240478,0.3233082706766917,0.46010432891266273,0.15097226498774755,44,0.5679103688827819,0.5367107195301027,0.5250781121526065,0.5993649607769892,0.5572660403356201,0.02891454982651998
8,3.3781449794769287,0.9536682234539808,2.3831329941749573,0.8898463153970725,0.01,1.0,rbf,"{'clf__C': 0.01, 'clf__gamma': 1, 'clf__kernel': 'rbf'}",0.48217821782178216,0.33664852692812913,0.6982823002240478,0.3233082706766917,0.46010432891266273,0.15097226498774755,44,0.5679103688827819,0.5367107195301027,0.5250781121526065,0.5993649607769892,0.5572660403356201,0.02891454982651998
9,3.960440456867218,0.8233883364262642,2.4122027158737183,0.8095305222491631,0.01,3.0,rbf,"{'clf__C': 0.01, 'clf__gamma': 3, 'clf__kernel': 'rbf'}",0.48217821782178216,0.33664852692812913,0.6982823002240478,0.3233082706766917,0.46010432891266273,0.15097226498774755,44,0.5679103688827819,0.5367107195301027,0.5250781121526065,0.5993649607769892,0.5572660403356201,0.02891454982651998
10,4.6417489647865295,1.0820264887749813,2.5914570689201355,0.7881091263830515,0.01,10.0,rbf,"{'clf__C': 0.01, 'clf__gamma': 10, 'clf__kernel': 'rbf'}",0.48217821782178216,0.33664852692812913,0.6982823002240478,0.3233082706766917,0.46010432891266273,0.15097226498774755,44,0.5679103688827819,0.5367107195301027,0.5250781121526065,0.5993649607769892,0.5572660403356201,0.02891454982651998
11,3.824660360813141,1.0730565270515504,2.2803868651390076,0.7348286218363248,0.1,0.0001,rbf,"{'clf__C': 0.1, 'clf__gamma': 0.0001, 'clf__kernel': 'rbf'}",0.48217821782178216,0.33683617939575905,0.34204630321135177,0.3233082706766917,0.3710922427763962,0.06449912077882126,58,0.5678046718105908,0.6175966715614293,0.7038316066436442,0.5993649607769892,0.6221494776981633,0.05041128437927875
12,3.7934730648994446,1.0398596069734092,2.167856991291046,0.7404567054863946,0.1,0.0003,rbf,"{'clf__C': 0.1, 'clf__gamma': 0.0003, 'clf__kernel': 'rbf'}",0.622029702970297,0.3396509664102083,0.5197908887229276,0.4557823129251701,0.48431346775715073,0.10242762680505947,42,0.737554169749498,0.6820851688693098,0.7379542838348956,0.7257190885319388,0.7208281777464105,0.022901987159439304
13,3.1773306727409363,0.909688925722766,1.9566311240196228,0.5670631851864635,0.1,0.001,rbf,"{'clf__C': 0.1, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'}",0.6398514851485149,0.3475323700506662,0.7057505601194921,0.5875402792696026,0.5701686736470689,0.13519138149225857,33,0.7677835323961526,0.6921194322075379,0.7511922381187305,0.7785767650354875,0.7474179919394771,0.033383379178827895
14,3.2954596281051636,1.2349751054266496,1.8720987439155579,0.7330212792938574,0.1,0.003,rbf,"{'clf__C': 0.1, 'clf__gamma': 0.003, 'clf__kernel': 'rbf'}",0.6304455445544555,0.38919121786451494,0.6945481702763256,0.623344074471894,0.5843822517917975,0.11605593466927369,28,0.7759222069548674,0.7036221243269701,0.7632790659431015,0.7922114307060142,0.7587587069827382,0.03344453186952237
15,3.1636154651641846,0.8982189738693566,1.767864167690277,0.6635749972339279,0.1,0.01,rbf,"{'clf__C': 0.1, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.6712871287128713,0.6933758678926628,0.707244212098581,0.6283566058002148,0.6750659536260826,0.029861078224065526,11,0.7838494873691999,0.7384973078805678,0.7797237296497287,0.8026709002614867,0.7761853562902458,0.023415443747713052
16,2.988971531391144,0.6769653273503338,1.6038777828216553,0.5941686460374669,0.1,0.03,rbf,"{'clf__C': 0.1, 'clf__gamma': 0.03, 'clf__kernel': 'rbf'}",0.6888613861386138,0.6727340964533683,0.7266616878267363,0.6254923021840315,0.6784373681506876,0.03629721916861318,8,0.7947362858048832,0.754650024473813,0.7849860220358493,0.8088345162495331,0.7858017121410197,0.01988359667237685
17,3.3980693221092224,1.184406929294843,2.0043839812278748,0.853889902964964,0.1,0.1,rbf,"{'clf__C': 0.1, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.6935643564356435,0.7885156689810471,0.6982823002240478,0.573218761188686,0.6883952717073561,0.07650848857368235,4,0.7978015008984252,0.7715369554576603,0.7966617332675546,0.8106088905491221,0.7941522700431906,0.014158805597471626
18,4.015021443367004,1.214530110547152,2.743840456008911,0.8303531634669159,0.1,0.3,rbf,"{'clf__C': 0.1, 'clf__gamma': 0.3, 'clf__kernel': 'rbf'}",0.4952970297029703,0.33664852692812913,0.6766243465272591,0.3526673827425707,0.4653093214752323,0.13674347230529438,43,0.7128210548567805,0.6112334801762115,0.8780628186153593,0.690791931266343,0.7232273212286736,0.09705281627350872
19,4.617287814617157,1.120819846205327,2.915498197078705,1.0024877305971018,0.1,1.0,rbf,"{'clf__C': 0.1, 'clf__gamma': 1, 'clf__kernel': 'rbf'}",0.48217821782178216,0.33664852692812913,0.6982823002240478,0.3233082706766917,0.46010432891266273,0.15097226498774755,44,0.5679103688827819,0.5398923152227117,0.536918270021378,0.5993649607769892,0.5610214787259652,0.02522442092295673
